Speech_ID,VideoTitle,Chunk_ID,Chunk,completed_percentage,completion_range_percentage
1,Muniba_Mazari,1_0,"Whoa. I'm running short of words right now, but I cannot afford this because I have to speak. Thank you so much for all the love, for all the warmth. Thank you for accepting me. Thank you very much.",0.0,0-5
1,Muniba_Mazari,1_1,"Well, I always start my talk with a disclaimer. And that disclaimer is that I've never claimed to be a motivational speaker. Yes, I do speak, but I feel more like a storyteller, because wherever I go, I share a story with everyone. Well, it is the story of a woman whose perfectly imperfect life made her who and what she is today. It's the story of a woman who, in pursuit of her dreams and aspirations, made other people realize that if you think that your life is hard and you're giving up on that because you think your life is unfair, think again.",1.89,0-5
1,Muniba_Mazari,1_2,"Because when you think that way, you are being unfair to your own self. I believe in the power of words. Many people speak before they think that I know the value of words. The words can make you break you. They can heal your soul.",3.77,0-5
1,Muniba_Mazari,1_3,They can damage you forever. So I always try to use the positive words in my life wherever I go. They call it adversity. I call it opportunity. They call it weakness.,5.66,5-10
1,Muniba_Mazari,1_4,I call it strength. They call me disabled. I call myself differently abled. They see my disability. They see my disability.,7.55,5-10
1,Muniba_Mazari,1_5,"I see my ability. There are some incidents that happen in your life, and those incidents are so strong that they change your DNA. Those incidents, or accidents are so strong that they break you physically. They deform your body, but they transform your soul. I was 18 years old when I got married.",9.43,5-10
1,Muniba_Mazari,1_6,"I belonged to a very conservative family, a beloche family, where good daughters never say no to their parents. My father wanted me to get married, and all I said was, if that makes you happy, I will say yes. And of course, it was never a happy marriage. Just about after two years of getting married, about nine years ago, I had a car accident. Somehow my husband fell asleep.",11.32,10-15
1,Muniba_Mazari,1_7,"And the car fell in the ditch. He managed to jump out, saved himself. I'm happy for him. But I stayed inside the car and I sustained a lot of injuries. List is a bit long.",13.21,10-15
1,Muniba_Mazari,1_8,"Don't get scared. I'm perfectly fine now. Radius ulna of my right arm were fractured. The wrist was fractured. Shoulder, bone and collarbone were fractured.",15.09,15-20
1,Muniba_Mazari,1_9,"My whole ribcage got fractured. And because of the ribcage injury, lungs and liver were badly injured. I couldn't breathe. I lost urinal bowel control. That's why I have to wear the bag wherever I go.",16.98,15-20
1,Muniba_Mazari,1_10,"But that injury that changed me and my life completely as a person and my perception towards living my life was the spine injury. Three wordtebra off. My backbone were completely crushed and I got paralyzed for the rest of my life. So this accident took place in a far flung area in the outskirts of a very small province, Balochistan, where there was no first aid, no hospital, no ambulance. I was in the middle of nowhere in that toppled car.",18.87,15-20
1,Muniba_Mazari,1_11,"Many people came to rescue. They gave me CPR. They dragged me out of the car. And while they were dragging me out, I got the complete transaction of my spondyl cord. And now there was this debate going on should we keep it here?",20.75,20-25
1,Muniba_Mazari,1_12,"She's going to die. Where should we go? There is no ambulance. There was this four wheeler jeep standing in the corner of the street. They said, put her in the back of the jeep and take her to the hospital, which is 3 hours away from this place.",22.64,20-25
1,Muniba_Mazari,1_13,And I still remember that bumpy ride. I was all broken. They threw me at the back of the jeep and they rushed me to the hospital. That is where I realized that my half body was fractured and half was paralyzed. I finally ended up in a hospital where I stayed for two and a half months.,24.53,20-25
1,Muniba_Mazari,1_14,I underwent multiple surgeries. Doctors have put a lot of titanium in my arm. There's a lot of titanium at my back to fix my back. That's why people in Pakistan call me the Iron Lady of Pakistan. There are always turning points in your life.,26.42,25-30
1,Muniba_Mazari,1_15,"There was a rebirth day that I celebrated after two years and two and a half months when I was able to sit on a wheelchair. That was the day when I had the rebirth. I was a completely different person. I still remember the day I sat on the wheelchair for the first time, knowing that I'm never going to leave this, knowing that I won't be able to walk for the rest of my life. I saw myself in the mirror and I talked to myself and I still remember what I said.",28.3,25-30
1,Muniba_Mazari,1_16,"I cannot wait for a miracle to come and make me walk. I cannot sit in the corner of the room crying, cribbing and begging for mercy because nobody has time. So I have to accept myself the way I am, the sooner the better. So I applied the lip color for the first time and I erased it and I cried",30.19,30-35
1,Muniba_Mazari,1_17,"and I said, what am I doing? A person on a wheelchair should not do this. What will people say? Clean it up. I put it again.",32.08,30-35
